stock,quarter,sales,operatingProfit,netIncome,operatingMargin,netProfitMargin,PER,PBR,ROE
텔코웨어,16년 9월,102,14,16,13.58,15.57,73.21,0.67,0.02
텔코웨어,16년 12월,133,40,37,30.38,27.67,30.28,0.61,0.04
텔코웨어,17년 3월,62,-5,-3,-8.23,-4.24,-422.75,0.63,0
텔코웨어,17년 6월,113,29,27,25.74,23.78,43.53,0.65,0.03
텔코웨어,17년 9월,102,17,20,16.51,19.67,57.91,0.63,0.02
텔코웨어,17년 12월,138,11,9,8.22,6.36,133.72,0.63,0.01
텔코웨어,18년 3월,49,-13,-9,-26.53,-18.19,-171.67,0.86,-0.01
텔코웨어,18년 6월,69,8,10,10.91,14.70,127.26,0.72,0.01
텔코웨어,18년 9월,114,39,37,34.55,32.46,37.22,0.74,0.03
텔코웨어,18년 12월,189,27,25,14.08,13.40,48.86,0.65,0.02
텔코웨어,19년 3월,56,-14,-9,-24.72,-16.55,-149.15,0.76,-0.01
텔코웨어,19년 6월,78,2,7,1.96,8.39,283.20,1.01,0.01
텔코웨어,19년 9월,97,19,21,19.81,22.25,61.66,0.71,0.02
텔코웨어,19년 12월,187,27,24,14.38,12.90,53.37,0.67,0.02
텔코웨어,20년 3월,45,-24,-21,-54.65,-45.99,-55.13,0.62,-0.02
텔코웨어,20년 6월,77,-1,4,-0.81,5.65,274.60,0.65,0
토니모리,15년 9월,571,72,37,12.61,6.49,198.78,6.65,-
토니모리,15년 12월,607,53,49,8.76,8.05,91.14,3.80,0.04
토니모리,16년 3월,595,54,40,9.09,6.71,88.58,3.02,0.03
토니모리,16년 6월,571,29,23,5.16,3.94,271.33,5.12,0.02
토니모리,16년 9월,597,70,42,11.75,7.11,130.37,4.50,0.04
토니모리,16년 12월,568,23,24,3.99,4.24,166.80,3.16,0.02
토니모리,17년 3월,622,19,1,3.10,0.16,"3,519.34",2.93,0
토니모리,17년 6월,494,4,1,0.71,0.30,"2,440.49",2.98,0
토니모리,17년 9월,474,-27,-27,-5.75,-5.76,-101.11,2.30,-0.02
토니모리,17년 12월,467,-15,-30,-3.15,-6.48,-103.19,2.71,-0.03
토니모리,18년 3월,430,-4,36,-0.88,8.14,83.29,2.52,0.03
토니모리,18년 6월,459,-5,-19,-1.01,-4.32,-145.13,2.41,-0.02
토니모리,18년 9월,437,-8,-34,-1.90,-8.02,-72.15,2.21,-0.03
토니모리,18년 12월,483,-34,-58,-6.97,-12.04,-34.45,1.87,-0.05
토니모리,19년 3월,414,-14,-25,-3.39,-6.18,-90.25,2.22,-0.02
토니모리,19년 6월,460,13,2,2.80,0.16,"1,341.89",2.11,0
토니모리,19년 9월,413,-21,23,-5.16,5.68,76.74,1.71,0.02
토니모리,19년 12월,433,20,-54,4.56,-12.83,-34.07,1.85,-0.05
토니모리,20년 3월,331,-77,-97,-23.25,-29.75,-15.26,1.65,-0.10
토니모리,20년 6월,282,-73,-129,-26.04,-46.73,-15.71,2.56,-0.15
티비에이치글로벌,09년 9월,361,-52,-43,-14.53,-12.04,-32.90,0.86,-0.03
티비에이치글로벌,09년 12월,-,-,-,-,-,-,0.94,-
티비에이치글로벌,10년 3월,-,-,-,-,-,-,-,-
티비에이치글로벌,10년 6월,446,75,56,16.79,12.47,49.83,1.63,0.03
티비에이치글로벌,10년 9월,379,-41,-30,-10.77,-8.02,-109.78,1.97,-0.02
