title,code,sector,isKOSPI,saleGrowthRate,saleGrowthRateAvg,operatingMarginRate,operatingMarginRateAvg,crawledPER,crawledPERAvg
바다로19호,155900,해운사,True,-13.72,2.28,52,16.25,22.82,62.29
방림,003610,"섬유, 의류, 신발, 호화품",True,-4.35,5.16,0.03,0.07,15.68,29.35
백광산업,001340,화학,True,7.74,9.18,7.84,4.62,15.5,52.81
백산,035150,"섬유, 의류, 신발, 호화품",True,32.67,5.16,-0.39,0.07,-14.53,29.35
범양건영,002410,건설,True,36.34,8.53,5.41,1.03,7.96,7.02
베트남개발1,096300,-,True,-,-,-,-,-,-
벽산,007210,건축자재,True,-0.78,4.02,0.14,-0.13,-55.03,39.49
보락,002760,식품,True,0.39,10.85,0.87,3.99,292.58,20.65
보령제약,003850,제약,True,8.62,11.49,7.43,-258.49,28.15,123.4
보해양조,000890,음료,True,-13.02,1.64,-14.88,1.96,-8.31,173.11
부광약품,003000,제약,True,6.66,11.49,2.79,-258.49,562.74,123.4
부국증권,001270,증권,True,-6.81,12.58,6.05,6.64,6.64,7.41
부국철강,026940,철강,True,-1.92,4.43,0.58,0.86,160.31,38.85
부산도시가스,015350,가스 유틸리티,True,3.13,2.74,3.15,2.41,3.11,32.62
부산산업,011390,건축자재,True,4.66,4.02,4.95,-0.13,46.76,39.49
부산주공,005030,자동차부품,True,4.44,1.38,-8.71,-1.62,-1.24,33.75
비비안,002070,"섬유, 의류, 신발, 호화품",True,-1.86,5.16,-1.93,0.07,-4.06,29.35
비상교육,100220,교육서비스,True,11.49,7.93,-9.72,-8.86,-12.29,-26.12
비케이탑스,030790,IT서비스,True,-16.04,9.32,-32.86,-0.69,-6.42,23.77
비티원,101140,"섬유, 의류, 신발, 호화품",True,-5.33,5.16,-38.95,0.07,3293.61,29.35
빅히트,352820,방송과엔터테인먼트,True,155.47,14.98,16.81,-19.88,86.86,-39.21
빙그레,005180,식품,True,2.6,10.85,5.01,3.99,10.94,20.65
사조대림,003960,식품,True,11.72,10.85,3.31,3.99,8.59,20.65
사조동아원,008040,식품,True,2.59,10.85,3.85,3.99,17.81,20.65
사조산업,007160,식품,True,1.56,10.85,1.23,3.99,-8.86,20.65
