title,startDate,endDate,raw,scale
KEC,2020.11.24,2020.12.04,"[12, 16, 3, 6, 0, 1, 2, 2, 5, 4, 2]","[0.75, 1.0, 0.1875, 0.375, 0.0, 0.0625, 0.125, 0.125, 0.3125, 0.25, 0.125]"
KC코트렐,2020.11.24,2020.12.04,"[1, 6, 3, 1, 0, 0, 2, 1, 1, 1, 1]","[0.16666666666666666, 1.0, 0.5, 0.16666666666666666, 0.0, 0.0, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]"
KG동부제철,2020.11.24,2020.12.04,"[0, 0, 14, 1, 0, 0, 2, 14, 0, 0, 0]","[0.0, 0.0, 1.0, 0.07142857142857142, 0.0, 0.0, 0.14285714285714285, 1.0, 0.0, 0.0, 0.0]"
KPX홀딩스,2020.11.24,2020.12.04,"[1, 1, 1, 1, 0, 0, 1, 2, 1, 2, 2]","[0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.5, 1.0, 0.5, 1.0, 1.0]"
KSS해운,2020.11.24,2020.12.04,"[0, 0, 0, 1, 0, 0, 0, 3, 4, 0, 0]","[0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.75, 1.0, 0.0, 0.0]"
LG유플러스,2020.11.24,2020.12.04,"[31, 195, 48, 61, 4, 45, 86, 71, 34, 34, 24]","[0.14136125654450263, 1.0, 0.23036649214659685, 0.29842931937172773, 0.0, 0.21465968586387435, 0.4293193717277487, 0.3507853403141361, 0.15706806282722513, 0.15706806282722513, 0.10471204188481675]"
LF,2020.11.24,2020.12.04,"[10, 3, 26, 12, 1, 1, 33, 68, 7, 36, 2]","[0.13432835820895522, 0.029850746268656716, 0.373134328358209, 0.16417910447761194, 0.0, 0.0, 0.47761194029850745, 1.0, 0.08955223880597014, 0.5223880597014925, 0.014925373134328358]"
KTB투자증권,2020.11.24,2020.12.04,"[0, 2, 0, 5, 1, 0, 0, 1, 1, 3, 2]","[0.0, 0.4, 0.0, 1.0, 0.2, 0.0, 0.0, 0.2, 0.2, 0.6, 0.4]"
LG전자,2020.11.24,2020.12.04,"[144, 191, 202, 104, 3, 35, 64, 31, 197, 68, 29]","[0.7085427135678392, 0.9447236180904522, 1.0, 0.507537688442211, 0.0, 0.16080402010050251, 0.3065326633165829, 0.1407035175879397, 0.9748743718592965, 0.32663316582914576, 0.1306532663316583]"
LG,2020.11.24,2020.12.04,"[387, 726, 1690, 517, 52, 258, 432, 624, 550, 368, 280]","[0.2045177045177045, 0.41147741147741146, 1.0, 0.2838827838827839, 0.0, 0.12576312576312576, 0.231990231990232, 0.3492063492063492, 0.304029304029304, 0.19291819291819293, 0.1391941391941392]"
LG화학,2020.11.24,2020.12.04,"[46, 36, 180, 38, 19, 15, 64, 43, 98, 15, 20]","[0.18787878787878787, 0.12727272727272726, 1.0, 0.1393939393939394, 0.024242424242424242, 0.0, 0.296969696969697, 0.1696969696969697, 0.503030303030303, 0.0, 0.030303030303030304]"
KTcs,2020.11.24,2020.12.04,"[0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
LS,2020.11.24,2020.12.04,"[280, 34, 12, 14, 2, 16, 33, 43, 8, 2, 61]","[1.0, 0.11510791366906475, 0.03597122302158273, 0.04316546762589928, 0.0, 0.050359712230215826, 0.11151079136690648, 0.1474820143884892, 0.02158273381294964, 0.0, 0.21223021582733814]"
