title,code,sector,isKOSPI,saleGrowthRate,saleGrowthRateAvg,operatingMarginRate,operatingMarginRateAvg,crawledPER,crawledPERAvg,debtRatio
지노믹트리,228760,건강관리장비와 용품,False,-19.92,16.26,-5562.92,-217.67,-29.82,305.67,4.507
지니뮤직,043610,방송과엔터테인먼트,False,27.46,14.98,3.63,-19.87,30.79,-34.19,53.177
지니언스,263860,소프트웨어,False,6.53,9.35,1.23,2.33,21.19,165.38,26.164
지니틱스,303030,반도체와 반도체 장비,False,,,,,,,49.464
지란지교시큐리티,208350,소프트웨어,False,45.77,9.35,-11.78,2.33,22.57,165.38,29.209
지스마트글로벌,114570,디스플레이장비 및 부품,False,-48.45,0.55,-337.74,-4.96,-0.11,84.62,101.754
지어소프트,051160,식품과 기본식료품 소매,False,35.5,11.17,2.17,4.51,40.67,99.29,353.859
지에스이,053050,가스 유틸리티,False,9.4,2.74,3.52,2.23,11.87,25.33,130.380
지엔씨에너지,119850,전기장비,False,13.08,6.05,3.12,2.33,23.36,-73.59,53.111
지엔원에너지,270520,에너지 장비 및 서비스,False,,,,,,,11.506
지엔코,065060,"섬유, 의류, 신발, 호화품",False,8.57,5.16,-11.19,-0.15,-4.19,26.53,68.262
지엘팜텍,204840,제약,False,31.78,11.49,-71.06,-258.45,-10.48,111.38,1024.080
지와이커머스,111820,인터넷과 카탈로그 소매,False,-53.65,9.76,423.75,25.67,1.33,21.19,7449.996
지트리비앤티,115450,제약,False,49.32,11.49,-26.36,-258.45,-38.35,111.38,83.345
지티지웰니스,219750,건강관리장비와 용품,False,12.37,16.26,-45.71,-217.67,-5.26,305.67,177.697
진로발효,018120,음료,False,0.61,1.64,19.85,1.96,12.51,171.37,14.721
진매트릭스,109820,생물공학,False,-0.19,29.47,-3.64,-688.98,108.6,-67.3,86.603
진바이오텍,086060,제약,False,1.54,11.49,1.05,-258.45,59.08,111.38,56.777
진성티이씨,036890,기계,False,25.99,8.28,7.74,-8.39,14.56,-24.97,97.265
진양제약,007370,제약,False,9.43,11.49,0.76,-258.45,99.4,111.38,56.363
차바이오텍,085660,생물공학,False,5.97,29.47,2.04,-688.98,-128.74,-67.3,74.535
참좋은여행,094850,"호텔, 레스토랑, 레저",False,12.96,10.8,-359.19,-70.93,9.9,-41.28,50.608
창해에탄올,004650,음료,False,-4.14,1.64,5.17,1.96,6.43,171.37,52.240
천랩,311690,건강관리기술,False,16.86,9.54,-149.66,-293.38,-24.61,-3720.65,9.356
천보,278280,디스플레이장비 및 부품,False,23.43,0.55,19.12,-4.96,75.77,84.62,11.697
청담러닝,096240,교육서비스,False,8.08,7.93,10.24,-8.99,38.98,-24.02,120.955
청보산업,013720,자동차부품,False,1.89,1.38,-13.07,-1.59,-38.26,34.78,85.996
체리부로,066360,식품,False,-1.39,10.85,-9.77,4.04,-1.92,19.05,192.420
초록뱀,047820,방송과엔터테인먼트,False,-22.91,14.98,-10.57,-19.87,-216.44,-34.19,72.288
칩스앤미디어,094360,반도체와 반도체 장비,False,5.68,11.5,14.6,4.25,29.8,16.95,11.737
카스,016920,전자장비와 기기,False,1.04,9.52,1.75,0.39,66.22,39.58,205.600
카이노스메드,284620,제약,False,,,,,,,7.973
카카오게임즈,293490,소프트웨어,False,56.88,9.35,8.95,2.33,330.06,165.38,
카페24,042000,IT서비스,False,28.72,9.32,2.5,-0.65,127.88,23.68,51.991
캐리소프트,317530,양방향미디어와서비스,False,24,21.26,-17.62,-21.71,-16.17,105.03,19.062
캐스텍코리아,071850,자동차부품,False,-5.69,1.38,-6.28,-1.59,-4.07,34.78,140.712
캔서롭,180400,생명과학 도구 및 서비스,False,4.11,19.79,-52.17,-2011.32,-9.73,48.37,27.552
캠시스,050110,핸드셋,False,24.35,3.39,-2.03,-7.02,-17.61,102.62,227.139
컬러레이,900310,화장품,False,8.08,25.83,53.58,-29.3,5.81,62.6,5.864
컴투스,078340,게임엔터테인먼트,False,-2.93,37.78,25.83,-22.21,15.91,31.52,8.594
컴퍼니케이,307930,창업투자,False,-1.49,22.75,69.34,3.1,10.8,27.81,
케어랩스,263700,건강관리기술,False,54.29,9.54,7.98,-293.38,35.38,-3720.65,88.395
케어젠,214370,생물공학,False,27.93,29.47,53.93,-688.98,23.05,-67.3,6.903
케이디켐,221980,화학,False,0.75,9.18,12.15,4.6,7.71,52.9,7.793
케이맥,043290,디스플레이장비 및 부품,False,-9.82,0.55,-16.45,-4.96,-4.38,84.62,96.107
케이비17호스팩,317030,창업투자,False,,,,,,,
케이비제18호스팩,323940,창업투자,False,,,,,,,
케이비제19호스팩,330990,창업투자,False,,,,,,,
케이비제20호스팩,342550,창업투자,False,,,,,,,
케이사인,192250,소프트웨어,False,-6.82,9.35,18.53,2.33,22.81,165.38,19.073
케이씨에스,115500,IT서비스,False,15.25,9.32,4.41,-0.65,37.13,23.68,71.679
케이씨티,089150,컴퓨터와 주변기기,False,-8.46,7.43,10.74,-12.44,81.39,-50.84,58.412
케이씨피드,025880,식품,False,-7.32,10.85,-2.25,4.04,-6.07,19.05,93.482
케이아이엔엑스,093320,IT서비스,False,13.51,9.32,25.22,-0.65,22.25,23.68,24.020
케이에스피,073010,조선,False,3.9,-3.94,4.84,-8.11,36.43,-28.74,94.291
케이엔더블유,105330,자동차부품,False,11,1.38,-16.5,-1.59,-6.98,34.78,100.143
케이엔제이,272110,디스플레이장비 및 부품,False,10.67,0.55,6.8,-4.96,17,84.62,118.393
케이엘넷,039420,IT서비스,False,3.17,9.32,9.63,-0.65,19.03,23.68,23.072
케이엠,083550,반도체와 반도체 장비,False,5.18,11.5,20.55,4.25,4.23,16.95,56.589
케이엠더블유,032500,통신장비,False,48.02,16.58,8.06,-6.07,215.96,-127.97,96.993
케이엠제약,225430,가정용품,False,,,,,,,78.318
케이프,064820,조선,False,42.25,-3.94,2.62,-8.11,33.05,-28.74,912.718
케이프이에스제4호,347140,창업투자,False,,,,,,,
케이피에스,256940,디스플레이장비 및 부품,False,-6.83,0.55,-45.3,-4.96,-227.72,84.62,27.569
케이피에프,024880,기계,False,3.42,8.28,1.43,-8.39,-31.14,-24.97,156.941
케이피엠테크,042040,화학,False,-6.83,9.18,-42.35,4.6,-17.13,52.9,51.763
케이피티유,054410,비철금속,False,4.44,3.09,2.73,-5.72,-484.85,21.62,89.222
켄코아에어로스페이스,274090,우주항공과 국방,False,78.86,14.15,-3.01,-5.6,-41.78,21.56,120.640
켐온,217600,생명과학 도구 및 서비스,False,10.7,19.79,9.07,-2011.32,160.69,48.37,20.205
켐트로닉스,089010,화학,False,17.91,9.18,3.59,4.6,26.6,52.9,195.991
켐트로스,220260,화학,False,,,,,,,52.808
코나아이,052400,전자장비와 기기,False,1.83,9.52,6.4,0.39,-56434.8,39.58,235.692
코너스톤네트웍스,033110,전자장비와 기기,False,-24.09,9.52,-88.72,0.39,-0.33,39.58,117.821
코닉글로리,094860,소프트웨어,False,1.89,9.35,-10.91,2.33,-38.84,165.38,30.029
코다코,046070,자동차부품,False,-7.54,1.38,-7.94,-1.59,-1.6,34.78,986.440
코데즈컴바인,047770,"섬유, 의류, 신발, 호화품",False,29.91,5.16,11.85,-0.15,16.65,26.53,68.960
코드네이처,078940,에너지 장비 및 서비스,False,71.13,33.72,-2.17,-35.36,-95.41,-71.27,105.468
코디,080530,화장품,False,82.69,25.83,1.02,-29.3,-11.04,62.6,172.606
코디엠,224060,반도체와 반도체 장비,False,-35.66,11.5,-31.35,4.25,-7.28,16.95,62.625
코렌,078650,핸드셋,False,-10.03,3.39,-54.19,-7.02,-3.05,102.62,92.879
코렌텍,104540,건강관리장비와 용품,False,3.76,16.26,8.92,-217.67,45.69,305.67,109.689
코리아나,027050,화장품,False,-1.87,25.83,1.24,-29.3,-113.17,62.6,57.706
코리아센터,290510,인터넷과 카탈로그 소매,False,88.79,9.76,4.28,25.67,113.89,21.19,74.048
코리아에셋투자증권,190650,증권,False,32.84,12.58,6.32,6.64,5,7.64,
코리아에스이,101670,건설,False,-3.32,8.53,-59.14,0.98,-10.05,6.98,9.142
코리아에프티,123410,자동차부품,False,6.16,1.38,0.4,-1.59,-223.98,34.78,164.597
코맥스,036690,통신장비,False,2.78,16.58,3.05,-6.07,26.27,-127.97,58.268
코메론,049430,기계,False,-1.11,8.28,22.08,-8.39,5.84,-24.97,9.467
코미코,183300,반도체와 반도체 장비,False,22.66,11.5,18.66,4.25,18,16.95,139.151
코미팜,041960,제약,False,-1.94,11.49,-15.17,-258.45,-40.42,111.38,64.962
코세스,089890,반도체와 반도체 장비,False,33,11.5,7.83,4.25,33.55,16.95,99.329
코센,009730,비철금속,False,2.61,3.09,-9.89,-5.72,-0.39,21.62,2526.426
코스나인,082660,핸드셋,False,-55.16,3.39,-2.53,-7.02,-1.58,102.62,282.968
코스맥스엔비티,222040,제약,False,17.17,11.49,-4.95,-258.45,-9.2,111.38,298.559
코스메카코리아,241710,화장품,False,28.08,25.83,1.39,-29.3,46.21,62.6,103.532
코스온,069110,화장품,False,9.57,25.83,-4.67,-29.3,-6.35,62.6,121.983
코아스템,166480,생물공학,False,10.59,29.47,-27.17,-688.98,-50.35,-67.3,14.883
코아시아,045970,핸드셋,False,3.48,3.39,0.89,-7.02,-414.42,102.62,129.226
코엔텍,029960,상업서비스와 공급품,False,8.88,13.39,38.64,8.48,18.88,25.07,29.726
코오롱생명과학,102940,제약,False,-2.1,11.49,-11.96,-258.45,-13.95,111.38,175.484
코오롱티슈진,950160,판매업체,False,-38.76,-15.89,-1600.31,-209.8,-11.64,-42.1,33.107
코웰패션,033290,"섬유, 의류, 신발, 호화품",False,16.49,5.16,18.79,-0.15,9.28,26.53,42.145
코위버,056360,통신장비,False,24.44,16.58,5.54,-6.07,8.48,-127.97,38.962
코윈테크,282880,기계,False,53.43,8.28,2.01,-8.39,43.9,-24.97,11.422
코이즈,121850,디스플레이장비 및 부품,False,4.1,0.55,-3.58,-4.96,-39.63,84.62,114.177
코콤,015710,통신장비,False,5.54,16.58,7.66,-6.07,27.45,-127.97,25.061
코텍,052330,전자장비와 기기,False,-1.44,9.52,2.77,0.39,50.52,39.58,11.056
코프라,126600,자동차부품,False,12.02,1.38,6.38,-1.59,9.3,34.78,43.348
콜마비앤에이치,200130,제약,False,19.68,11.49,18.45,-258.45,21.16,111.38,51.786
큐렉소,060280,판매업체,False,4.59,-15.89,-5.21,-209.8,-30.29,-42.1,7.152
큐로컴,040350,IT서비스,False,-7.45,9.32,-87.9,-0.65,-11.09,23.68,156.938
큐로홀딩스,051780,방송과엔터테인먼트,False,20.85,14.98,4.47,-19.87,-6.35,-34.19,95.159
큐리언트,115180,생물공학,False,,,,,,,18.040
큐브앤컴퍼니,043090,제약,False,-22.28,11.49,-72.98,-258.45,-6.7,111.38,26.570
큐브엔터,182360,방송과엔터테인먼트,False,15.29,14.98,2.34,-19.87,142.16,-34.19,81.672
큐에스아이,066310,반도체와 반도체 장비,False,0.99,11.5,1.39,4.25,-1044.6,16.95,7.287
큐캐피탈,016600,창업투자,False,19.76,22.75,-49.88,3.1,76.62,27.81,
크로바하이텍,043590,전기제품,False,-16.14,17.99,-6.79,2.76,-9.54,143.11,68.409
크루셜텍,114120,핸드셋,False,-41.19,3.39,-61.21,-7.02,-0.75,102.62,144.554
크리스에프앤씨,110790,"섬유, 의류, 신발, 호화품",False,8.3,5.16,14,-0.15,8.43,26.53,27.776
크리스탈신소재,900250,화학,False,9.15,9.18,34.53,4.6,5.78,52.9,12.732
크리스탈지노믹스,083790,생명과학 도구 및 서비스,False,-1.2,19.79,-63.51,-2011.32,-16.07,48.37,68.366
크린앤사이언스,045520,자동차부품,False,25.42,1.38,9.23,-1.59,16.47,34.78,174.596
클래시스,214150,건강관리장비와 용품,False,,,,,,,29.279
클리오,237880,화장품,False,8.95,25.83,6.84,-29.3,40.13,62.6,62.874
키네마스터,139670,소프트웨어,False,27.63,9.35,11.53,2.33,57.42,165.38,14.510
키움제5호스팩,311270,창업투자,False,,,,,,,
키이스트,054780,방송과엔터테인먼트,False,2.44,14.98,-0.36,-19.87,-33.95,-34.19,59.322
타이거일렉,219130,반도체와 반도체 장비,False,7.79,11.5,12.05,4.25,21.11,16.95,38.524
탑엔지니어링,065130,디스플레이장비 및 부품,False,100.91,0.55,-0.96,-4.96,-297.77,84.62,59.597
태광,023160,기계,False,-8.14,8.28,2.88,-8.39,33.91,-24.97,10.459
태양,053620,가정용품,False,-1.45,9.47,6.12,6.25,6.95,13.11,18.379
태웅,044490,기계,False,5.12,8.28,-6.19,-8.39,-11.06,-24.97,74.805
태웅로직스,124560,해운사,False,15.58,2.28,5.24,16.23,9.73,97.52,112.028
테고사이언스,191420,생물공학,False,-8.72,29.47,19,-688.98,125.78,-67.3,1.549
테라사이언스,073640,기계,False,-14.49,8.28,-10.54,-8.39,-59.77,-24.97,89.187
테라셈,182690,반도체와 반도체 장비,False,-10.91,11.5,-42.86,4.25,-7.43,16.95,126.875
테라젠이텍스,066700,제약,False,10.88,11.49,0.86,-258.45,9.58,111.38,66.176
테스,095610,반도체와 반도체 장비,False,-0.1,11.5,14.21,4.25,22.03,16.95,15.346
테스나,131970,반도체와 반도체 장비,False,47.33,11.5,22.97,4.25,27.3,16.95,109.818
테크윙,089030,반도체와 반도체 장비,False,9.59,11.5,18.66,4.25,10.31,16.95,101.160
텔레칩스,054450,반도체와 반도체 장비,False,9.4,11.5,-3.78,4.25,-134.5,16.95,51.243
텔레필드,091440,통신장비,False,9.47,16.58,1.86,-6.07,10.47,-127.97,113.908
텔콘RF제약,200230,통신장비,False,23.78,16.58,-15.78,-6.07,-8.82,-127.97,14.192
토박스코리아,215480,"섬유, 의류, 신발, 호화품",False,6.06,5.16,-4.16,-0.15,-38.73,26.53,41.445
토비스,051360,디스플레이장비 및 부품,False,-2.68,0.55,1.14,-4.96,14.12,84.62,44.868
토탈소프트,045340,운송 인프라,False,7.85,5.31,23.96,10.58,15.08,-39.57,90.188
톱텍,108230,디스플레이장비 및 부품,False,-24.77,0.55,5.37,-4.96,23.29,84.62,31.927
투비소프트,079970,소프트웨어,False,1.34,9.35,14.57,2.33,-3.64,165.38,80.544
트루윈,105550,자동차부품,False,-3.83,1.38,-4.17,-1.59,-262.55,34.78,126.456
특수건설,026150,건설,False,11.84,8.53,0.9,0.98,56.09,6.98,99.058
티라유텍,322180,IT서비스,False,,,,,,,22.333
티로보틱스,117730,디스플레이장비 및 부품,False,1.61,0.55,-8.79,-4.96,-22.07,84.62,157.757
티비씨,033830,방송과엔터테인먼트,False,8.27,14.98,8.14,-19.87,14.73,-34.19,9.990
티사이언티픽,057680,양방향미디어와서비스,False,-36.32,21.26,28.95,-21.71,158.64,105.03,65.856
티씨케이,064760,반도체와 반도체 장비,False,24.2,11.5,34.77,4.25,21.91,16.95,13.795
티앤알바이오팹,246710,생물공학,False,67.44,29.47,-323.45,-688.98,-31.71,-67.3,9.413
티에스아이,277880,기계,False,55.29,8.28,9.58,-8.39,-9.28,-24.97,
티에스이,131290,반도체와 반도체 장비,False,14.76,11.5,18.66,4.25,18.48,16.95,35.302
티엘아이,062860,디스플레이장비 및 부품,False,-18.46,0.55,-10.45,-4.96,-29.63,84.62,6.687
티움바이오,321550,제약,False,,,,,,,1.036
티케이케미칼,104480,화학,False,0.46,9.18,-4.96,4.6,-9.86,52.9,150.374
티플랙스,081150,비철금속,False,9.33,3.09,3.68,-5.72,23.44,21.62,55.002
티피씨글로벌,130740,자동차부품,False,15.9,1.38,0.16,-1.59,52.28,34.78,92.722
팅크웨어,084730,전자제품,False,-0.51,0.89,5.46,-61.35,18.83,24.76,39.903
파나진,046210,생명과학 도구 및 서비스,False,4.53,19.79,16.82,-2011.32,21.98,48.37,7.830
파라다이스,034230,"호텔, 레스토랑, 레저",False,12.12,10.8,-9.36,-70.93,-142.87,-41.28,116.329
파라텍,033540,기계,False,-17.67,8.28,-3.78,-8.39,23.12,-24.97,132.778
파루,043200,에너지 장비 및 서비스,False,-20.47,33.72,-26.94,-35.36,-10.36,-71.27,48.404
파마리서치프로덕트,214450,제약,False,22.21,11.49,27.61,-258.45,21.61,111.38,18.169
파멥신,208340,생물공학,False,,,,,,,138.034
파버나인,177830,비철금속,False,10.41,3.09,3.39,-5.72,-15.21,21.62,179.706
파세코,037070,가정용 기기와 용품,False,20.95,5.66,5.74,1.63,14.36,17.25,46.938
파수,150900,소프트웨어,False,18.16,9.35,-28.94,2.33,-11.27,165.38,175.442
파워넷,037030,전기제품,False,-2.27,17.99,3.96,2.76,16.99,143.11,100.120
파워로직스,047310,전기제품,False,26.64,17.99,-1.38,2.76,-81.58,143.11,71.147
파이오링크,170790,통신장비,False,-0.65,16.58,14.43,-6.07,10.45,-127.97,37.974
